ID,Title,Author,ISBN,Genre,Language,Publisher,Publication Year,Shelf,Status,Tags,Notes,Rating,Cover Image,Description
BK000001,"My Mistress's Sparrow Is Dead: Great Love Stories, from Chekhov to Munro",Edited by Jeffrey Eugenides,,Short Stories,English,Harper,2008,,Available,,,,,"""When it comes to love, there are a million theories to explain it. But when it comes to love stories, things are simpler. A love story can never be about full possession. Love stories depend on disappointment, on unequal births and feuding families, on matrimonial boredom and at least one cold heart. Love stories, nearly without exception, give love a bad name.... It is perhaps only in reading a love story (or in writing one) that we can simultaneously partake of the ecstasy and agony of being in love without paying a crippling emotional price. I offer this book, then, as a cure for lovesickness and an antidote to adultery. Read these love stories in the safety of your single bed. Let everybody else suffer.""” --Jeffrey Eugenides, from the introduction to My Mistress's Sparrow Is Dead"
BK000002,The Demon-Haunted World,Carl Sagan,,Novel,English,,1995,,Available,,,,,"How can we make intelligent decisions about our increasingly technology-driven lives if we don’t understand the difference between the myths of pseudoscience and the testable hypotheses of science? Pulitzer Prize-winning author and distinguished astronomer Carl Sagan argues that scientific thinking is critical not only to the pursuit of truth but to the very well-being of our democratic institutions.\nCasting a wide net through history and culture, Sagan examines and authoritatively debunks such celebrated fallacies of the past as witchcraft, faith healing, demons, and UFOs. And yet, disturbingly, in today's so-called information age, pseudoscience is burgeoning with stories of alien abduction, channeling past lives, and communal hallucinations commanding growing attention and respect. As Sagan demonstrates with lucid eloquence, the siren song of unreason is not just a cultural wrong turn but a dangerous plunge into darkness that threatens our most basic freedoms."
BK000003,Let's Explore Diabetes with Owls,David Sedaris,0316154695,Essays,English,"Little, Brown and Company",2013,,Available,,,,,"With Let's Explore Diabetes with Owls, David Sedaris shows once again why his work has been called ""hilarious, elegant, and surprisingly moving"""
BK000004,The Wonder That Was India,A. L. Basham,033043909X,History,English,Picador,2004,,Available,,,,,"The Wonder That was India takes a look at the country's history from the time of the Harappan or Indus Valley Civilization. It explores the possible causes for the decline of the Harappan civilization and settlements. The book talks about the possibility of the Harappans having moved towards the south and settled in the peninsular region."
BK000005,Gifted,"Sudha Menon, V. R. Ferose",8184005458,Disability Studies,English,Random House India,2014,,Available,,,,,"While the rest of the world has taken great strides in mainstreaming the differently abled into the larger contours of their society, life continues to be an uphill struggle for the differently-abled in India. They continue to be burdened with their handicapped status and live a life on the fringes, largely forgotten by a society which is galloping ahead at a fast pace. Born different from the rest of us, they have been put in a position of disadvantage in a world where being normal is at such a premium.\nWritten by the bestselling author of Legacy and Leading Ladies, Sudha Menon and the MD of SAP Labs India, V. R. Ferose, Gifted celebrates the journeys of these very Indians who are neither CEOs nor part of any influential power clubs, but special in their own way. These are stories that can inspire even the most abled among us."
BK000006,The Captive Mind,Czesław Miłosz,0140189270,Novel,English,Penguin Classics,1997,,Available,,,,,"Written in Paris in the early 1950s, this book created instant controversy in its analysis of modern society that had allowed itself to be hypnotized by socio-political doctrines, and to accept totalitarian terror on the strength of a hypothetical future."
BK000007,Aliens,Edited by Jim Al-Khalili,,Essays,English,,,,Available,,,,,"For those who have ever wondered, Is there anybody out there? here are the latest theories and evidence that move us closer to answering that question."
BK000008,Reality Is Not What It Seems,Carlo Rovelli,,Unknown,English,,,,Available,,,,,"What are time and space made of? Where does matter come from? And what exactly is reality? Scientist Carlo Rovelli has spent his whole life exploring these questions and pushing the boundaries of what we know. Here he explains how our image of the world has changed throughout centuries. Fom Aristotle to Albert Einstein, Michael Faraday to the Higgs boson, he takes us on a wondrous journey to show us that beyond our ever-changing idea of reality is a whole new world that has yet to be discovered."
BK000009,Free Expression Is No Offence,Edited by Lisa Appignanesi,9780141024738,Essays,English,Penguin Books Ltd,2005,,Available,,,,,"A law criminalizing incitement to religious hatred has been high on the Labour Government's list of priorities. It is a law with wide-ranging implications for freedom of expression in Britain: it could be used to censor anyone - whether writer, comedian or person in the street - who wishes to make a statement about religion that others might find offensive. Free Expression is No Offence tackles the issue of free speech in the post-9/11 world from a variety of angles. Its authors draw on their wide-ranging experience to show just why it is that attempts to curtail our freedom must be vigorously resisted by anyone who wants all faiths and none to live peaceably side by side and our many cultures to thrive."
BK000010,What's That Tree? The Simplest ID Guide,DK,9781409366553,Guide,English,Dorling Kindersley Ltd,2013,,Available,,,,,"This is the perfect guide to identifying common trees. What's That Tree? is ideal if you struggle to tell the difference between a Serbian spruce and a Silver birch. It's the perfect pocket guide for beginners but also a handy reference for the more seasoned naturalist. Featuring over 150 common trees from around the UK and Europe, species overviews show you what to look for where and related trees are shown side by side for quick comparison and identification. Become an expert tree-spotter in no time with What's That Tree?"
